point;time;Leq;L5;L10;L50;L90;condition
P3;36;67.76;70.34;69.64;66.57;64.97;Without fireworks
P3;37;71.05;74.4;73.78;69.13;66.79;Without fireworks
P3;38;72.94;73.27;71.85;69.57;68.07;Without fireworks
P3;39;68.81;70;69.94;68.81;66.72;Without fireworks
P3;40;70.47;74.42;72.03;68.45;66.66;Without fireworks
P3;41;70.37;74.04;72.36;69.72;66.86;Without fireworks
P3;42;71.27;75.79;73.21;70.42;66.54;Without fireworks
P3;43;68.45;70.59;69.87;68.17;65.43;Without fireworks
P3;44;68.44;71.51;71.22;67.87;63.98;Without fireworks
P3;45;68.93;72.74;71.92;67.8;64.42;Without fireworks
P3;46;68.41;71.66;71.13;67.98;64.33;Without fireworks
P3;47;68.79;70.97;70.84;68.72;65.6;Without fireworks
P3;48;70.83;72.86;70.99;68.16;66.58;Without fireworks
P3;49;68.94;71.99;71.15;68.1;64.83;Without fireworks
P3;50;68.66;71.7;71.05;67.84;64.75;Without fireworks
P3;51;71.78;76.29;73.45;69.3;67.32;Without fireworks
P3;52;67.2;69.54;69.13;66.67;64.64;Without fireworks
P3;53;67.33;69.87;69.37;66.92;64.55;Without fireworks
P3;54;67.81;70.64;70.21;66.87;64.49;Without fireworks
P3;55;68.16;70.6;70.18;67.6;65.4;Without fireworks
P3;56;79.36;84.25;81.71;77.14;74.99;With fireworks
P3;57;75.03;77.82;77.39;74.66;69.83;With fireworks
P3;58;72.95;78.43;74.89;70.83;67.68;With fireworks
P3;59;72.59;76.36;74.81;71.21;66.41;With fireworks
P3;60;72.39;75.44;74.8;71.49;66.89;With fireworks
P3;61;71.75;74.74;73.42;71.36;68.88;With fireworks
P3;62;75.6;81.83;79.63;72.27;66.49;With fireworks
P3;63;76.21;82.25;80.49;71.78;66.33;With fireworks
P3;64;72.36;76.06;75.73;70.94;66.09;With fireworks
P3;65;72.8;78.22;77.04;69.63;65.71;With fireworks
P3;66;71.38;74.29;72.74;69.86;67.44;With fireworks
P3;67;75.87;81.41;79.35;72.89;68.91;With fireworks
P3;68;73.92;77.74;76.53;73.37;68.93;With fireworks
P3;69;72.37;76.41;75.4;71.11;65.65;With fireworks
P3;70;71.57;75.92;74.97;70.31;65.87;With fireworks
P3;71;74.36;80.53;78.21;68.95;64.77;With fireworks
P3;72;69.98;74.07;72.81;68.35;64.65;With fireworks
P3;73;72.59;76.97;76.46;69.29;64.28;With fireworks
P3;74;76.71;82.47;82;73.43;68.48;With fireworks
P3;75;67.59;70.16;68.73;67.09;65.1;Without fireworks
P3;76;66.83;68.66;68.11;66.48;65.16;Without fireworks
P3;77;70.54;70.37;69.85;67.36;66.28;Without fireworks
P3;78;68.67;72.08;70.81;67.83;66.18;Without fireworks
P3;79;68.49;69.85;68.87;67.24;65.91;Without fireworks
P3;80;67.33;69.11;68.9;67.07;65.21;Without fireworks
P3;81;67.68;69.99;69.2;67.28;66.02;Without fireworks
P3;82;85.99;95.05;90.47;69.26;67.52;Without fireworks
P3;83;82.45;89.89;87.51;70.91;66.6;Without fireworks
P3;84;68.99;72.91;72.03;67.44;63.8;Without fireworks
P3;85;70.2;74.03;72.55;68.55;67.25;Without fireworks
P3;86;70.48;73.5;71.94;70.16;68.18;Without fireworks
P3;87;74.61;80.28;79.19;69.37;67.41;Without fireworks
P3;88;69.3;71.22;70.95;68.76;66.08;Without fireworks
P3;89;69.9;73.14;70.61;69.28;67.61;Without fireworks
P3;90;68.52;69.95;69.53;68.29;67.35;Without fireworks
P3;91;69.07;71.39;70.69;68.93;66.36;Without fireworks
P3;92;70.22;72.34;72.05;70.04;67.48;Without fireworks
P3;93;71.35;74.07;73.51;70.01;66.49;Without fireworks
